VMDProductNo,Name,MAHolder,Distributors,VMNo,DateOfIssue,AuthorisationRoute,Territory,ActiveSubstances,ControlledDrug,TargetSpecies,DistributionCategory,PharmaceuticalForm,TherapeuticGroup,SPC_Link,UKPAR_Link,PAAR_Link
A007945,AviPro Salmonella Duo Lyophilisate for Use in Drinking Water,Elanco Europe Ltd,<span>Elanco Europe Ltd.</span>, 00879/4188,2011-07-22,National,Great Britain,"Salmonella enteritidis, Salmonella typhimurium",N,"Chickens, Duck, Turkeys",POM-V,Lyophilisate for oculonasal suspension/use in drinking water,Live Bacterial Vaccine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_324583.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_628818.PDF
A005926,Golden Udder Gel,Mr J J & Mrs M A Zakarias,<span>Shep Fair Products Ltd</span>,00292/4007,2002-04-06,National (Informed Consent),United Kingdom,"Salicylic Acid, Sulphur",N,Cattle,AVM-GSL,Gel,Antiseptic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_79443.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_547676.PDF
A000854,Bob Martin Clear Flea Shampoo for Dogs & Puppies 1.9 mg/g / 4.9 mg/g,Bob Martin (UK) Ltd,<span>Bob Martin (UK) Ltd</span>,00715/4049,1992-05-01,National,United Kingdom,"Piperonyl Butoxide, Pyrethrins",N,Dogs,AVM-GSL,Shampoo,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141062.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_533781.PDF
A002301,Bob Martin Clear Wormer 222.2 mg Granules for Cats & Kittens,Bob Martin (UK) Ltd,<span>Bob Martin (UK) Ltd</span>,00715/4068,1996-02-07,National (Informed Consent),United Kingdom,Fenbendazole,N,Cats,AVM-GSL,Granules,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_137236.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_532003.PDF
A013000,Dicyclanil Elanco 5% Pour-on Suspension,Elanco Europe Ltd,<span>Elanco Europe Limited</span>,00879/3000,2021-10-29,National (Informed Consent),Northern Ireland,Dicyclanil,N,Sheep,POM-VPS,Pour-on suspension,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2206966.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2284399.PDF
A012999,Flyclanil 5% Pour-on Suspension for Sheep,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3001,2021-10-29,National (Informed Consent),Northern Ireland,Dicyclanil,N,Sheep,POM-VPS,Pour-on suspension,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2206800.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2284835.PDF
A013001,Dicyclafly 5% Pour-on Suspension for Sheep,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3002,2021-10-29,National (Informed Consent),Northern Ireland,Dicyclanil,N,Sheep,POM-VPS,Pour-on suspension,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2207079.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2284204.PDF
A011589,Clik 50 mg/ml Pour-on Suspension for Sheep,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3008,2001-03-15,Mutually Recognised,Northern Ireland,Dicyclanil,N,Sheep,POM-VPS,Pour-on suspension,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2375262.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2375291.PDF
A011591,CLiKZiN 12.5 mg/ml Pour-On Suspension for Sheep,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3009,2010-09-15,Mutually Recognised,Northern Ireland,Dicyclanil,N,Sheep,POM-VPS,Pour-on suspension,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2384988.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_304201.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2385015.PDF
A011590,CLiK Extra 65 mg/ml Pour-On Suspension for Sheep,Elanco Europe Ltd,<span>Elanco Europe Ltd</span>,00879/3010,2016-10-21,Mutually Recognised,Northern Ireland,Dicyclanil,N,Sheep,POM-VPS,Pour-on suspension,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2385279.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1077865.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2385291.PDF
