VMDProductNo,Name,MAHolder,VMNo,DateOfExpiration,AuthorisationRoute,Territory,ActiveSubstances,SPC_Link
A000263,"Apralan Soluble Powder for Use in Drinking Water/Milk Replacer for Pigs, Calves, Chickens and Rabbits",Eli Lilly and Company Limited,00006/4084,2023-06-15,National,Great Britain,Apramycin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140888.PDF
A011368,"Apralan Soluble Powder for Use in Drinking Water/Milk Replacer for Pigs, Calves, Chickens and Rabbits",Eli Lilly and Company Limited,00006/4084,2023-06-15,Mutually Recognised,Northern Ireland,Apramycin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_140888.PDF
A002307,Stellamune Mycoplasma,Eli Lilly and Company Limited,00006/4118,2019-06-28,National,United Kingdom,Mycoplasma hyopneumoniae,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139320.PDF
A002523,Felocell CVR,Eli Lilly and Company Limited,00006/4123,2019-09-03,National,United Kingdom,"Feline calicivirus, Feline panleukopenia virus, Feline viral rhinotracheitis virus",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_142179.PDF
A007719,Flukiver Bovis 50 mg/ml Solution for Injection for Cattle,Eli Lilly and Company Limited,00006/4153,2019-10-07,Mutually Recognised,,Closantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_290572.PDF
A000265,Ticacyl Spot On Solution 744 mg for Small Dogs up to 15 kg,Bob Martin (UK) Ltd,00715/4054,2020-12-10,National (Informed Consent),United Kingdom,Permethrin (cis:trans 25:75),https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124806.PDF
A005393,Bob Martin Permethrin Dog Spot On Solution 744 mg,Bob Martin (UK) Ltd,00715/4077,2020-12-09,Mutually Recognised,,Permethrin (Cis:Trans 25:75),https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_111736.PDF
A005887,Bob Martin Flea and Tick Spot on Solution 744 mg,Bob Martin (UK) Ltd,00715/4078,2020-12-09,National (Informed Consent),United Kingdom,Permethrin (Cis:Trans 25:75),https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_123836.PDF
A007520,Ticacyl Spot On Solution 1488 mg for Large Dogs over 15 kg,Bob Martin (UK) Ltd,00715/4111,2020-12-10,National (Informed Consent),United Kingdom,Permethrin (Cis:Trans 25:75),https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_240342.PDF
A007720,Dog Flea Collar with dimpylate 15% w/w,Bob Martin (UK) Ltd,00715/4112,2022-12-20,National (MAPI),United Kingdom,Dimpylate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_295664.PDF
A007783,Cat Flea Collar with dimpylate 15% w/w,Bob Martin (UK) Ltd,00715/4113,2022-12-20,National (MAPI),United Kingdom,Dimpylate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_295668.PDF
A000419,Garlic Sugar Coated Tablets,Dorwest Herbs Limited,00866/4013,2021-08-31,National,United Kingdom,"Garlic, Garlic Oil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_135708.PDF
A000403,Green Releaf Tablets,Dorwest Herbs Limited,00866/4016,2020-07-31,National,United Kingdom,"Celery Plant, Celery Seed, Horseradish, Parsley, Watercress",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139167.PDF
A000405,Garlic and Fenugreek Sugar Coated Tablets,Dorwest Herbs Limited,00866/4017,2021-08-31,National,United Kingdom,"Fenugreek   Milled, Garlic Oil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139161.PDF
A000408,Kelp Seaweed Sugar Coated Tablets,Dorwest Herbs Limited,00866/4018,2020-07-31,National,United Kingdom,"Fucus, Pulv Fucus",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139181.PDF
A000412,Raspberry Leaf Tablets,Dorwest Herbs Limited,00866/4019,2021-08-31,National,United Kingdom,Raspberry Leaf Powder,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_128970.PDF
A000404,Scullcap and Valerian Sugar Coated Tablets,Dorwest Herbs Limited,00866/4021,2020-07-31,National,United Kingdom,"Gentian Ext., Mistletoe, Scullcap, Valerian",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_101674.PDF
A002732,Fasinex 5% w/v Oral Suspension,Elanco Europe Ltd,00879/4007,2023-06-15,National,United Kingdom,Triclabendazole,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_93893.PDF
A002680,Program Tablets 67.8 mg,Elanco Europe Ltd,00879/4018,2024-01-26,National,United Kingdom,Lufenuron,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_214692.PDF
A002685,Program Tablets 204.9 mg,Elanco Europe Ltd,00879/4019,2024-01-26,National,United Kingdom,Lufenuron,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_136145.PDF
A002684,Program Tablets 409.8 mg,Elanco Europe Ltd,00879/4020,2024-01-26,National,United Kingdom,Lufenuron,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_136144.PDF
A002682,Program Oral Suspension for Small Cats and Kittens 133 mg,Elanco Europe Ltd,00879/4021,2022-05-03,National,United Kingdom,Lufenuron,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_134006.PDF
